code,year,gini_DS,quality,GDP_PWT,GDP_PC_PWT,gov_consumption_WB,years_schooling,democracy_index,GDP_MP_WB,GDP_growth_WB,inflation_WB,fertility_WB,dummy_africa,dummy_latin_america,openness
ALB,1973.0,,,9050.1181640625,3944.131846493124,,,0.0,,,,4.677,0.0,0.0,
ALB,1974.0,,,9412.0009765625,4009.189347519623,,,0.0,,,,4.538,0.0,0.0,
ALB,1975.0,,,9793.1796875,4079.130126778521,,5.35,0.0,,,,4.393,0.0,0.0,
ALB,1976.0,,,10182.47265625,4148.905739725497,,,0.0,,,,4.244,0.0,0.0,
ALB,1977.0,,,10585.76953125,4220.75749264561,,,0.0,,,,4.093999999999999,0.0,0.0,
ALB,1978.0,,,11030.9599609375,4305.401642208741,,,0.0,,,,3.947,0.0,0.0,
ALB,1979.0,,,11445.25,4374.209353609552,,,0.0,,,,3.807,0.0,0.0,
ALB,1980.0,,,11895.236328125,4452.976576245648,8.98442533778109,6.39,0.0,4790406074.82641,,,3.678,0.0,0.0,0.458250749506054
ALB,1981.0,,,12483.8330078125,4581.174368350759,8.53605430558112,,0.0,5065645335.65105,5.74563526610041,,3.562,0.0,0.0,0.44497605577662
ALB,1982.0,,,12787.53125,4603.819153424982,8.58921602998066,,0.0,5215010792.03539,2.94859680232911,,3.46,0.0,0.0,0.432525386847195
ALB,1983.0,,,13041.78515625,4605.667287587377,8.77780451048442,,0.0,5272633441.85273,1.10493826600218,,3.372,0.0,0.0,0.39005621962550097
ALB,1984.0,,,12702.025390625,4393.638123857664,9.412477229482269,,0.0,5206641338.6471,-1.2515966439427801,,3.2969999999999997,0.0,0.0,0.367904298195613
ALB,1985.0,,,12843.9384765625,4342.997871962271,9.30439386359233,7.78,0.0,5299353083.0541,1.78064395791647,,3.233,0.0,0.0,0.34685406148026
ALB,1986.0,,,13608.8203125,4486.33603113741,9.27544503004344,,0.0,5598090504.13936,5.637243195599639,,3.177,0.0,0.0,0.305250142005462
ALB,1987.0,,,13507.037109375,4334.723394372417,9.64469991976815,,0.0,5553986359.63446,-0.7878426487084341,,3.1260000000000003,0.0,0.0,0.310288080231291
ALB,1988.0,,,13169.48828125,4122.093930192115,9.46025341015993,,0.0,5475117549.607679,-1.42003967816672,,3.075,0.0,0.0,0.35600305738475996
ALB,1989.0,,,14555.150390625,4470.448625270627,8.811091530491359,,0.0,6013680169.77748,9.83654899260358,,3.023,0.0,0.0,0.38658529728914603
ALB,1990.0,,,14904.6142578125,4530.989902611596,18.5213819994299,8.5,0.0,5437831794.69754,-9.57564018741695,,2.97,0.0,0.0,0.38065783109482804
ALB,1991.0,,,8359.611328125,2539.6068980039163,22.0799815059738,,26.42,3828831871.02596,-29.5889976817695,,2.917,0.0,0.0,0.3481638627437917
ALB,1992.0,,,6272.796875,1920.058009178499,19.6798919882798,,20.51,3553155976.82864,-7.19999998650893,226.005421253526,2.867,0.0,0.0,1.0000268654187918
ALB,1993.0,,,8020.22314453125,2486.9672416397434,14.128770270954002,,20.51,3894258951.02804,9.60000001192878,85.00475123871571,2.819,0.0,0.0,0.777150689060593
ALB,1994.0,,,10151.3603515625,3192.8119310125803,13.852179594066,,20.51,4217482443.83588,8.29999999672621,22.5650526933696,2.772,0.0,0.0,0.503020121386065
